"from","to","m","km","miles","seconds","minutes","hours","lon","lat","minutes_discrete","city"
"54 Surfside Ln, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15531,15.531,9.6509634,3168,52.8,0.88,-71.004993,42.293406,"(50,55]","Boston"
"82 Bay St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15522,15.522,9.6453708,2965,49.4166666666667,0.823611111111111,-70.999993,42.293406,"(45,50]","Boston"
"82 Bay St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15522,15.522,9.6453708,2965,49.4166666666667,0.823611111111111,-70.994993,42.293406,"(45,50]","Boston"
NA,NA,NA,NA,NA,NA,NA,NA,-70.989993,42.293406,NA,"Boston"
"1195 Centre St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",11861,11.861,7.3704254,2536,42.2666666666667,0.704444444444444,-71.129993,42.298406,"(40,45]","Boston"
"Forest Hills Cemetry, Boston, MA 02130, United States","1 City Hall Square, Boston, MA 02108, USA",9813,9.813,6.0977982,2302,38.3666666666667,0.639444444444444,-71.124993,42.298406,"(35,40]","Boston"
"382 South St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9484,9.484,5.8933576,2061,34.35,0.5725,-71.119993,42.298406,"(30,35]","Boston"
"66 Hyde Park Ave, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9015,9.015,5.601921,1786,29.7666666666667,0.496111111111111,-71.114993,42.298406,"(25,30]","Boston"
"84 Tower St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9137,9.137,5.6777318,1861,31.0166666666667,0.516944444444444,-71.109993,42.298406,"(30,35]","Boston"
"124 Forest Hills Ave, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9598,9.598,5.9641972,2167,36.1166666666667,0.601944444444444,-71.104993,42.298406,"(35,40]","Boston"
"Circuit Dr, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9950,9.95,6.18293,2064,34.4,0.573333333333333,-71.099993,42.298406,"(30,35]","Boston"
"Unnamed Road, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",4971,4.971,3.0889794,1679,27.9833333333333,0.466388888888889,-71.094993,42.298406,"(25,30]","Boston"
"44 American Legion Hwy, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",13160,13.16,8.177624,2619,43.65,0.7275,-71.089993,42.298406,"(40,45]","Boston"
"39 Esmond St, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9584,9.584,5.9554976,2591,43.1833333333333,0.719722222222222,-71.084993,42.298406,"(40,45]","Boston"
"99 Greenwood St, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",10314,10.314,6.4091196,3105,51.75,0.8625,-71.079993,42.298406,"(50,55]","Boston"
"15 Chamberlain St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",9149,9.149,5.6851886,2359,39.3166666666667,0.655277777777778,-71.074993,42.298406,"(35,40]","Boston"
"98 Bloomfield St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",8690,8.69,5.399966,2023,33.7166666666667,0.561944444444444,-71.069993,42.298406,"(30,35]","Boston"
"27 Vinson St, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",8276,8.276,5.1427064,1741,29.0166666666667,0.483611111111111,-71.064993,42.298406,"(25,30]","Boston"
"128-130 Park St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8251,8.251,5.1271714,1857,30.95,0.515833333333333,-71.059993,42.298406,"(30,35]","Boston"
"40 Sturtevant St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8639,8.639,5.3682746,2040,34,0.566666666666667,-71.054993,42.298406,"(30,35]","Boston"
"30 Blanche St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9203,9.203,5.7187442,2450,40.8333333333333,0.680555555555556,-71.049993,42.298406,"(40,45]","Boston"
"229 Victory Rd, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9751,9.751,6.0592714,2890,48.1666666666667,0.802777777777778,-71.044993,42.298406,"(45,50]","Boston"
"Quincy Riverwalk, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14381,14.381,8.9363534,3640,60.6666666666667,1.01111111111111,-71.039993,42.298406,"(60,65]","Boston"
"Quincy Riverwalk, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14381,14.381,8.9363534,3640,60.6666666666667,1.01111111111111,-71.034993,42.298406,"(60,65]","Boston"
"500 Victory Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14447,14.447,8.9773658,3502,58.3666666666667,0.972777777777778,-71.029993,42.298406,"(55,60]","Boston"
"23 Ketch Ln, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14173,14.173,8.8071022,3295,54.9166666666667,0.915277777777778,-71.024993,42.298406,"(50,55]","Boston"
"5 Harbourside Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14175,14.175,8.808345,3296,54.9333333333333,0.915555555555556,-71.019993,42.298406,"(50,55]","Boston"
"37 Parke Ave, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14299,14.299,8.8853986,2588,43.1333333333333,0.718888888888889,-71.014993,42.298406,"(40,45]","Boston"
"115 Bellevue Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14863,14.863,9.2358682,2595,43.25,0.720833333333333,-71.009993,42.298406,"(40,45]","Boston"
"133 Bayside Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15328,15.328,9.5248192,2839,47.3166666666667,0.788611111111111,-71.004993,42.298406,"(45,50]","Boston"
"44 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15571,15.571,9.6758194,3517,58.6166666666667,0.976944444444444,-70.999993,42.298406,"(55,60]","Boston"
"56 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15851,15.851,9.8498114,3718,61.9666666666667,1.03277777777778,-70.994993,42.298406,"(60,65]","Boston"
"80 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",NA,NA,NA,NA,NA,NA,-70.989993,42.298406,NA,"Boston"
"83 Whitcomb Ave, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",11018,11.018,6.8465852,3128,52.1333333333333,0.868888888888889,-71.129993,42.303406,"(50,55]","Boston"
"1050 Centre St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",11179,11.179,6.9466306,2535,42.25,0.704166666666667,-71.124993,42.303406,"(40,45]","Boston"
"300 Arborway, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9432,9.432,5.8610448,2056,34.2666666666667,0.571111111111111,-71.119993,42.303406,"(30,35]","Boston"
"195 South St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9146,9.146,5.6833244,1906,31.7666666666667,0.529444444444444,-71.114993,42.303406,"(30,35]","Boston"
"3592-3600 Washington St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9156,9.156,5.6895384,1922,32.0333333333333,0.533888888888889,-71.109993,42.303406,"(30,35]","Boston"
"100 Rossmore Rd, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9776,9.776,6.0748064,2148,35.8,0.596666666666667,-71.104993,42.303406,"(35,40]","Boston"
"Circuit Dr, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",9950,9.95,6.18293,2069,34.4833333333333,0.574722222222222,-71.099993,42.303406,"(30,35]","Boston"
"Unnamed Road, Boston, MA 02124, USA","1 City Hall Square, Boston, MA 02108, USA",5317,5.317,3.3039838,1639,27.3166666666667,0.455277777777778,-71.094993,42.303406,"(25,30]","Boston"
"Glen Ln, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9037,9.037,5.6155918,2620,43.6666666666667,0.727777777777778,-71.089993,42.303406,"(40,45]","Boston"
"612 Blue Hill Avenue, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",11729,11.729,7.2884006,2240,37.3333333333333,0.622222222222222,-71.084993,42.303406,"(35,40]","Boston"
"19 Fenelon St, Dorchester, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9145,9.145,5.682703,2800,46.6666666666667,0.777777777777778,-71.079993,42.303406,"(45,50]","Boston"
"1 Wilcutt Rd, Dorchester, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9330,9.33,5.797662,2714,45.2333333333333,0.753888888888889,-71.074993,42.303406,"(45,50]","Boston"
"11 Tebroc St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9433,9.433,5.8616662,1678,27.9666666666667,0.466111111111111,-71.069993,42.303406,"(25,30]","Boston"
"42 Longfellow St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8553,8.553,5.3148342,1944,32.4,0.54,-71.064993,42.303406,"(30,35]","Boston"
"946 Dorchester Ave, Boston, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",5773,5.773,3.5873422,1642,27.3666666666667,0.456111111111111,-71.059993,42.303406,"(25,30]","Boston"
"25 Beach St, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",8915,8.915,5.539781,2234,37.2333333333333,0.620555555555556,-71.054993,42.303406,"(35,40]","Boston"
"296 Freeport St, Boston, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9247,9.247,5.7460858,2494,41.5666666666667,0.692777777777778,-71.049993,42.303406,"(40,45]","Boston"
"220-238 Victory Rd, Dorchester, MA 02122, USA","1 City Hall Square, Boston, MA 02108, USA",9944,9.944,6.1792016,3026,50.4333333333333,0.840555555555556,-71.044993,42.303406,"(50,55]","Boston"
"Quincy Riverwalk, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14381,14.381,8.9363534,3640,60.6666666666667,1.01111111111111,-71.039993,42.303406,"(60,65]","Boston"
"Unnamed Road, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",12228,12.228,7.5984792,2557,42.6166666666667,0.710277777777778,-71.034993,42.303406,"(40,45]","Boston"
"Marina Bay Boardwalk, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14492,14.492,9.0053288,3537,58.95,0.9825,-71.029993,42.303406,"(55,60]","Boston"
"98 Harbourside Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14256,14.256,8.8586784,3357,55.95,0.9325,-71.024993,42.303406,"(55,60]","Boston"
"92 Dorchester St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14517,14.517,9.0208638,2577,42.95,0.715833333333333,-71.019993,42.303406,"(40,45]","Boston"
"133 Dorchester St, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14485,14.485,9.000979,2555,42.5833333333333,0.709722222222222,-71.014993,42.303406,"(40,45]","Boston"
"2 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",14715,14.715,9.143901,2720,45.3333333333333,0.755555555555556,-71.009993,42.303406,"(45,50]","Boston"
"30 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15244,15.244,9.4726216,3281,54.6833333333333,0.911388888888889,-71.004993,42.303406,"(50,55]","Boston"
"46 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",15617,15.617,9.7044038,3550,59.1666666666667,0.986111111111111,-70.999993,42.303406,"(55,60]","Boston"
"65 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",16442,16.442,10.2170588,4097,68.2833333333333,1.13805555555556,-70.994993,42.303406,"(65,70]","Boston"
"85 Moon Island Rd, Quincy, MA 02171, USA","1 City Hall Square, Boston, MA 02108, USA",NA,NA,NA,NA,NA,NA,-70.989993,42.303406,NA,"Boston"
"414 Pond St, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",11526,11.526,7.1622564,3194,53.2333333333333,0.887222222222222,-71.129993,42.308406,"(50,55]","Boston"
"93 Moss Hill Rd, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",11500,11.5,7.1461,3002,50.0333333333333,0.833888888888889,-71.124993,42.308406,"(50,55]","Boston"
"160 Arborway, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",10508,10.508,6.5296712,2283,38.05,0.634166666666667,-71.119993,42.308406,"(35,40]","Boston"
"11 Sedgwick St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",8280,8.28,5.145192,2022,33.7,0.561666666666667,-71.114993,42.308406,"(30,35]","Boston"
"42 Newbern St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",7983,7.983,4.9606362,1883,31.3833333333333,0.523055555555556,-71.109993,42.308406,"(30,35]","Boston"
"3390 Washington St, Jamaica Plain, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",7867,7.867,4.8885538,1804,30.0666666666667,0.501111111111111,-71.104993,42.308406,"(30,35]","Boston"
"88 Glen Rd, Boston, MA 02130, USA","1 City Hall Square, Boston, MA 02108, USA",8127,8.127,5.0501178,1973,32.8833333333333,0.548055555555556,-71.099993,42.308406,"(30,35]","Boston"
"Playstead Rd, Boston, MA 02119, USA","1 City Hall Square, Boston, MA 02108, USA",8203,8.203,5.0973442,2236,37.2666666666667,0.621111111111111,-71.094993,42.308406,"(35,40]","Boston"
"176 Seaver St, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",8361,8.361,5.1955254,2183,36.3833333333333,0.606388888888889,-71.089993,42.308406,"(35,40]","Boston"
"42 Hartwell St, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",8850,8.85,5.49939,2429,40.4833333333333,0.674722222222222,-71.084993,42.308406,"(40,45]","Boston"
"57 Oldfields Rd, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9169,9.169,5.6976166,2626,43.7666666666667,0.729444444444444,-71.079993,42.308406,"(40,45]","Boston"
"Columbia Rd opp Wyola Pl, Boston, MA 02121, USA","1 City Hall Square, Boston, MA 02108, USA",9089,9.089,5.6479046,2762,46.0333333333333,0.767222222222222,-71.074993,42.308406,"(45,50]","Boston"
"61 Hamilton St, Dorchester, MA 02125, USA","1 City Hall Square, Boston, MA 02108, USA",9312,9.312,5.7864768,2503,41.7166666666667,0.695277777777778,-71.069993,42.308406,"(40,45]","Boston"
